date,shop_id,cost_type,cost_plan,cost_real
2016-01-01,1,Salary,11077.962024790557,12173.584642626985
2016-01-01,1,Rent,5050.0,5050.0
2016-01-01,1,Utilities,1007.0403636283768,932.4447811373859
2016-01-01,1,Security,598.6295494902017,554.286619898335
2016-01-01,1,Stationery,320.13937485716923,266.78281238097435
2016-01-01,1,Marketing,2692.434305534202,2719.6306116507094
2016-01-01,1,Other expenses,1147.1660932381897,1333.9140619048717
2016-02-01,1,Salary,13609.808618017762,12044.078423024568
2016-02-01,1,Rent,5050.0,5050.0
2016-02-01,1,Utilities,1029.419038375674,953.1657762737723
2016-02-01,1,Security,708.6580336644133,590.5483613870111
2016-02-01,1,Stationery,233.7328251384381,248.65194163663625
2016-02-01,1,Marketing,2889.2837593298727,2978.6430508555386
2016-02-01,1,Other expenses,1371.859384248379,1282.1115740639057
2016-03-01,1,Salary,17094.820987518746,14245.684156265621
2016-03-01,1,Rent,5050.0,5050.0
2016-03-01,1,Utilities,1251.9625261404635,1181.0967227740223
2016-03-01,1,Security,565.6831672233476,543.9261223301419
2016-03-01,1,Stationery,318.896115148986,279.7334343412158
2016-03-01,1,Marketing,3395.6530779753143,2978.6430508555386
2016-03-01,1,Other expenses,1242.6121770851692,1230.3090862229399
2016-04-01,1,Salary,11682.756070333831,12044.078423024568
2016-04-01,1,Rent,5050.0,5050.0
2016-04-01,1,Utilities,775.1724280522136,891.0027908646134
2016-04-01,1,Security,533.6692297376306,528.385375977852
2016-04-01,1,Stationery,287.7628199565655,261.60256359687776
2016-04-01,1,Marketing,2799.924467804206,2434.7169285253967
2016-04-01,1,Other expenses,1081.6359461193676,1243.2597081831814
2016-05-01,1,Salary,12432.597081831813,12432.597081831813
2016-05-01,1,Rent,5050.0,5050.0
2016-05-01,1,Utilities,1353.9098222114844,1118.9337373648632
2016-05-01,1,Security,536.4147615932019,492.12363448917597
2016-05-01,1,Stationery,307.08514792124583,295.27418069350557
2016-05-01,1,Marketing,2261.1785942581614,2512.4206602868458
2016-05-01,1,Other expenses,1037.344819015342,1165.5559764217326
2016-06-01,1,Salary,13064.587433491599,13468.646838651131
2016-06-01,1,Rent,5050.0,5050.0
2016-06-01,1,Utilities,1082.671995876187,1139.6547325012496
2016-06-01,1,Security,497.9255131273641,559.4668686824316
2016-06-01,1,Stationery,256.16330237357636,222.75069771615335
2016-06-01,1,Marketing,2849.136831253124,2849.136831253124
2016-06-01,1,Other expenses,1469.766086267805,1256.2103301434229
2016-07-01,1,Salary,12619.08603805929,14504.696595470448
2016-07-01,1,Rent,5050.0,5050.0
2016-07-01,1,Utilities,1311.0173622791647,1181.0967227740223
2016-07-01,1,Security,676.2296762759687,554.286619898335
2016-07-01,1,Stationery,240.67435850912753,261.60256359687776
2016-07-01,1,Marketing,3436.5770433696766,2771.4330994916745
2016-07-01,1,Other expenses,1377.9461765696926,1230.3090862229399
2016-08-01,1,Salary,12238.337752428191,11655.559764217325
2016-08-01,1,Rent,5050.0,5050.0
2016-08-01,1,Utilities,1162.4478271512746,1056.770751955704
2016-08-01,1,Security,509.27025796453563,450.68164421640324
2016-08-01,1,Stationery,317.29023802591604,253.83219042073284
2016-08-01,1,Marketing,2201.6057332410505,2590.1243920482943
2016-08-01,1,Other expenses,1319.020846650594,1256.2103301434229
2016-09-01,1,Salary,13139.701040860999,14763.70903467528
2016-09-01,1,Rent,5050.0,5050.0
2016-09-01,1,Utilities,951.0936767601337,1056.770751955704
2016-09-01,1,Security,684.8806917454101,585.3681126029146
2016-09-01,1,Stationery,295.89581054759714,264.192687988926
2016-09-01,1,Marketing,2523.8172076118585,2900.9393190940905
2016-09-01,1,Other expenses,1314.2291165253046,1113.7534885807665
2016-10-01,1,Salary,17985.823778383357,14504.696595470448
2016-10-01,1,Rent,5050.0,5050.0
2016-10-01,1,Utilities,1321.9994897014494,1139.6547325012496
2016-10-01,1,Security,595.7286101711077,595.7286101711077
2016-10-01,1,Stationery,248.10801551430615,266.78281238097435
2016-10-01,1,Marketing,3159.4337334205093,2952.7418069350556
2016-10-01,1,Other expenses,1328.7338131207753,1476.3709034675278
2016-11-01,1,Salary,11431.514004305147,11785.065983819739
2016-11-01,1,Rent,5050.0,5050.0
2016-11-01,1,Utilities,924.6744079612411,880.6422932964201
2016-11-01,1,Security,481.1415070668912,559.4668686824316
2016-11-01,1,Stationery,224.56378479058714,264.192687988926
2016-11-01,1,Marketing,3365.866647466759,2926.8405630145726
2016-11-01,1,Other expenses,1312.804548109678,1411.6177936663205
2016-12-01,1,Salary,15378.863577786748,12303.090862229397
2016-12-01,1,Rent,5050.0,5050.0
2016-12-01,1,Utilities,984.8688988324434,1004.9682641147382
2016-12-01,1,Security,578.1157643051793,466.22239056869296
2016-12-01,1,Stationery,193.74130452521243,220.16057332410503
2016-12-01,1,Marketing,2509.830535894797,2201.60573324105
2016-12-01,1,Other expenses,1639.030715288161,1450.4696595470452
2017-01-01,1,Salary,13520.449326492097,11267.04110541008
2017-01-01,1,Rent,5050.0,5050.0
2017-01-01,1,Utilities,952.2333314926352,942.8052787055793
2017-01-01,1,Security,497.51109322463634,507.6643808414657
2017-01-01,1,Stationery,189.33809305873035,220.16057332410503
2017-01-01,1,Marketing,3303.18563717919,2823.235587332641
2017-01-01,1,Other expenses,1252.5841559945552,1204.4078423024569
2017-02-01,1,Salary,12121.782154786019,13468.646838651131
2017-02-01,1,Rent,5050.0,5050.0
2017-02-01,1,Utilities,886.2369619832446,942.8052787055793
2017-02-01,1,Security,571.0706259588079,538.7458735460452
2017-02-01,1,Stationery,307.13695040908675,253.83219042073284
2017-02-01,1,Marketing,3485.01236950098,2978.6430508555386
2017-02-01,1,Other expenses,1288.7163912636286,1385.7165497458373
2017-03-01,1,Salary,11668.510386177566,13727.65927785596
2017-03-01,1,Rent,5050.0,5050.0
2017-03-01,1,Utilities,1072.8295231864038,984.2472689783519
2017-03-01,1,Security,530.7682904185365,486.9433857050794
2017-03-01,1,Stationery,259.8412790102849,227.93094650024992
2017-03-01,1,Marketing,2249.7820469331486,2616.0256359687774
2017-03-01,1,Other expenses,1218.3945140195178,1269.1609521036644
2017-04-01,1,Salary,12887.163912636288,13857.165497458374
2017-04-01,1,Rent,5050.0,5050.0
2017-04-01,1,Utilities,774.9652181008497,911.7237860009997
2017-04-01,1,Security,500.25662508020764,575.0076150347214
2017-04-01,1,Stationery,348.50123695009796,297.86430508555384
2017-04-01,1,Marketing,2351.3149231014418,2305.210708922982
2017-04-01,1,Other expenses,1265.9232966136037,1100.802866620525
2017-05-01,1,Salary,11966.374691263121,11396.547325012496
2017-05-01,1,Rent,5050.0,5050.0
2017-05-01,1,Utilities,1128.2581851762372,1025.6892592511247
2017-05-01,1,Security,678.5089857409713,575.0076150347214
2017-05-01,1,Stationery,243.05727294981193,238.29144406844307
2017-05-01,1,Marketing,2854.317080037221,2460.6181724458797
