invoice_n,date,shop_id,operation_type(purchase/transfer),item,amount,unit_cost,sum,supplier
50001,2016-01-01,1,Purchase,"Sneakers type 1, Nike",1,1887,1887,Supplier A
50001,2016-01-01,1,Purchase,"Sneakers type 2, Nike",1,1964,1964,Supplier A
50001,2016-01-01,1,Purchase,"Sneakers type 3, Nike",1,1282,1282,Supplier A
50001,2016-01-01,1,Purchase,"Sneakers type 4, Nike",1,893,893,Supplier A
50001,2016-01-01,1,Purchase,"Sneakers type 5, Nike",2,1206,2412,Supplier A
50001,2016-01-01,1,Purchase,"Sneakers type 6, Nike",3,1923,5769,Supplier A
50001,2016-01-01,1,Purchase,"Slippers type 1, Nike",1,184,184,Supplier A
50001,2016-01-01,1,Purchase,"Slippers type 2, Nike",1,332,332,Supplier A
50001,2016-01-01,1,Purchase,"Slippers type 3, Nike",2,138,276,Supplier A
50001,2016-01-01,1,Purchase,"Boots type 1, Nike",1,2814,2814,Supplier A
50001,2016-01-01,1,Purchase,"Boots type 2, Nike",1,2727,2727,Supplier A
50001,2016-01-01,1,Purchase,"Boots type 3, Nike",5,3312,16560,Supplier A
50001,2016-01-01,1,Purchase,"Boots type 4, Nike",1,2868,2868,Supplier A
50001,2016-01-01,1,Purchase,"Boots type 5, Nike",2,3543,7086,Supplier A
50001,2016-01-01,1,Purchase,"Boots type 6, Nike",1,2279,2279,Supplier A
50001,2016-01-01,1,Purchase,"Shoes type 1, Nike",2,1611,3222,Supplier A
50001,2016-01-01,1,Purchase,"Shoes type 2, Nike",1,1562,1562,Supplier A
50001,2016-01-01,1,Purchase,"Shoes type 3, Nike",1,3352,3352,Supplier A
50001,2016-01-01,1,Purchase,"Shoes type 4, Nike",3,2947,8841,Supplier A
50002,2016-01-01,1,Purchase,"Belt type 1, Nike",1,121,121,Supplier B
50002,2016-01-01,1,Purchase,"Belt type 2, Nike",2,220,440,Supplier B
50002,2016-01-01,1,Purchase,"Belt type 3, Nike",1,211,211,Supplier B
50002,2016-01-01,1,Purchase,"Belt type 4, Nike",2,283,566,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 1, Nike",3,233,699,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 2, Nike",1,103,103,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 3, Nike",1,350,350,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 4, Nike",1,197,197,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 5, Nike",2,427,854,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 6, Nike",2,294,588,Supplier B
50002,2016-01-01,1,Purchase,"Cufflinks type 7, Nike",1,252,252,Supplier B
50002,2016-01-01,1,Purchase,"Ball type 1, Nike",2,48,96,Supplier B
50002,2016-01-01,1,Purchase,"Ball type 2, Nike",2,37,74,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 1, Nike",3,198,594,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 2, Nike",1,238,238,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 3, Nike",1,298,298,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 4, Nike",1,246,246,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 5, Nike",3,229,687,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 6, Nike",2,237,474,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 7, Nike",1,208,208,Supplier B
50002,2016-01-01,1,Purchase,"Hat type 8, Nike",2,282,564,Supplier B
50002,2016-01-01,1,Purchase,"Cap type 1, Nike",2,224,448,Supplier B
50002,2016-01-01,1,Purchase,"Cap type 2, Nike",1,265,265,Supplier B
50002,2016-01-01,1,Purchase,"Cap type 3, Nike",3,165,495,Supplier B
50002,2016-01-01,1,Purchase,"Socks type 1, Nike",1,252,252,Supplier B
50002,2016-01-01,1,Purchase,"Socks type 2, Nike",3,125,375,Supplier B
50002,2016-01-01,1,Purchase,"Socks type 3, Nike",1,191,191,Supplier B
50002,2016-01-01,1,Purchase,"Socks type 4, Nike",1,123,123,Supplier B
50002,2016-01-01,1,Purchase,"Socks type 5, Nike",3,254,762,Supplier B
50002,2016-01-01,1,Purchase,"Socks type 6, Nike",3,255,765,Supplier B
50003,2016-01-01,1,Purchase,"Socks type 7, Nike",1,151,151,Supplier C
50003,2016-01-01,1,Purchase,"Top type 1, Nike",1,139,139,Supplier C
50003,2016-01-01,1,Purchase,"Top type 2, Nike",1,385,385,Supplier C
50004,2016-01-01,1,Purchase,"Top type 3, Nike",2,250,500,Supplier A
50004,2016-01-01,1,Purchase,"Top type 4, Nike",1,178,178,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 1, Nike",1,190,190,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 2, Nike",1,216,216,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 3, Nike",1,230,230,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 4, Nike",3,246,738,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 5, Nike",1,245,245,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 6, Nike",1,346,346,Supplier A
50004,2016-01-01,1,Purchase,"T-shirt type 7, Nike",5,391,1955,Supplier A
50004,2016-01-01,1,Purchase,"Trousers type 1, Nike",2,937,1874,Supplier A
50005,2016-01-01,1,Purchase,"Trousers type 2, Nike",1,597,597,Supplier B
50005,2016-01-01,1,Purchase,"Trousers type 3, Nike",2,714,1428,Supplier B
50005,2016-01-01,1,Purchase,"Trousers type 4, Nike",1,1007,1007,Supplier B
50005,2016-01-01,1,Purchase,"Trousers type 5, Nike",1,912,912,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 6, Nike",2,1062,2124,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 7, Nike",1,1299,1299,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 8, Nike",1,743,743,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 9, Nike",1,359,359,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 10, Nike",1,577,577,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 11, Nike",1,453,453,Supplier B
50006,2016-01-01,1,Purchase,"Trousers type 12, Nike",1,758,758,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 1, Nike",2,837,1674,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 2, Nike",1,824,824,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 3, Nike",1,821,821,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 4, Nike",1,876,876,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 5, Nike",1,419,419,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 6, Nike",1,702,702,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 7, Nike",2,820,1640,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 8, Nike",2,542,1084,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 9, Nike",1,740,740,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 10, Nike",1,167,167,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 11, Nike",1,659,659,Supplier B
50006,2016-01-01,1,Purchase,"Shirt type 12, Nike",1,471,471,Supplier B
50006,2016-01-01,1,Purchase,"Sneakers type 1, Adidas",1,1748,1748,Supplier B
50007,2016-01-01,1,Purchase,"Sneakers type 2, Adidas",1,1023,1023,Supplier C
50007,2016-01-01,1,Purchase,"Sneakers type 3, Adidas",2,1637,3274,Supplier C
50007,2016-01-01,1,Purchase,"Sneakers type 4, Adidas",1,739,739,Supplier C
50007,2016-01-01,1,Purchase,"Sneakers type 5, Adidas",1,783,783,Supplier C
50007,2016-01-01,1,Purchase,"Sneakers type 6, Adidas",1,1224,1224,Supplier C
50007,2016-01-01,1,Purchase,"Slippers type 1, Adidas",1,195,195,Supplier C
50007,2016-01-01,1,Purchase,"Slippers type 2, Adidas",1,346,346,Supplier C
50007,2016-01-01,1,Purchase,"Slippers type 3, Adidas",3,151,453,Supplier C
50007,2016-01-01,1,Purchase,"Boots type 1, Adidas",2,3593,7186,Supplier C
50007,2016-01-01,1,Purchase,"Boots type 2, Adidas",1,3309,3309,Supplier C
50007,2016-01-01,1,Purchase,"Boots type 3, Adidas",1,2999,2999,Supplier C
50007,2016-01-01,1,Purchase,"Boots type 4, Adidas",3,3411,10233,Supplier C
50007,2016-01-01,1,Purchase,"Boots type 5, Adidas",1,1563,1563,Supplier C
50007,2016-01-01,1,Purchase,"Boots type 6, Adidas",2,2714,5428,Supplier C
50007,2016-01-01,1,Purchase,"Shoes type 1, Adidas",1,1875,1875,Supplier C
50007,2016-01-01,1,Purchase,"Shoes type 2, Adidas",1,1761,1761,Supplier C
50007,2016-01-01,1,Purchase,"Shoes type 3, Adidas",1,1608,1608,Supplier C
50007,2016-01-01,1,Purchase,"Shoes type 4, Adidas",1,1698,1698,Supplier C
50007,2016-01-01,1,Purchase,"Belt type 1, Adidas",1,291,291,Supplier C
50007,2016-01-01,1,Purchase,"Belt type 2, Adidas",2,159,318,Supplier C
50007,2016-01-01,1,Purchase,"Belt type 3, Adidas",3,203,609,Supplier C
50007,2016-01-01,1,Purchase,"Belt type 4, Adidas",1,181,181,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 1, Adidas",1,262,262,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 2, Adidas",1,207,207,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 3, Adidas",1,187,187,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 4, Adidas",1,493,493,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 5, Adidas",1,342,342,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 6, Adidas",1,183,183,Supplier C
50007,2016-01-01,1,Purchase,"Cufflinks type 7, Adidas",1,184,184,Supplier C
50007,2016-01-01,1,Purchase,"Ball type 1, Adidas",2,31,62,Supplier C
50007,2016-01-01,1,Purchase,"Ball type 2, Adidas",3,45,135,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 1, Adidas",1,123,123,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 2, Adidas",3,136,408,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 3, Adidas",1,110,110,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 4, Adidas",1,280,280,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 5, Adidas",1,163,163,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 6, Adidas",1,265,265,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 7, Adidas",1,176,176,Supplier C
50007,2016-01-01,1,Purchase,"Hat type 8, Adidas",4,152,608,Supplier C
50007,2016-01-01,1,Purchase,"Cap type 1, Adidas",1,175,175,Supplier C
50007,2016-01-01,1,Purchase,"Cap type 2, Adidas",1,292,292,Supplier C
50007,2016-01-01,1,Purchase,"Cap type 3, Adidas",2,197,394,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 1, Adidas",1,375,375,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 2, Adidas",1,56,56,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 3, Adidas",1,251,251,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 4, Adidas",1,370,370,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 5, Adidas",2,354,708,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 6, Adidas",1,388,388,Supplier C
50007,2016-01-01,1,Purchase,"Socks type 7, Adidas",1,369,369,Supplier C
50007,2016-01-01,1,Purchase,"Top type 1, Adidas",1,364,364,Supplier C
50007,2016-01-01,1,Purchase,"Top type 2, Adidas",2,168,336,Supplier C
50007,2016-01-01,1,Purchase,"Top type 3, Adidas",3,75,225,Supplier C
50007,2016-01-01,1,Purchase,"Top type 4, Adidas",1,107,107,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 1, Adidas",1,219,219,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 2, Adidas",1,258,258,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 3, Adidas",1,318,318,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 4, Adidas",2,144,288,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 5, Adidas",1,303,303,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 6, Adidas",1,179,179,Supplier C
50007,2016-01-01,1,Purchase,"T-shirt type 7, Adidas",1,167,167,Supplier C
50007,2016-01-01,1,Purchase,"Trousers type 1, Adidas",1,828,828,Supplier C
50007,2016-01-01,1,Purchase,"Trousers type 2, Adidas",1,1107,1107,Supplier C
50007,2016-01-01,1,Purchase,"Trousers type 3, Adidas",2,1102,2204,Supplier C
50007,2016-01-01,1,Purchase,"Trousers type 4, Adidas",1,705,705,Supplier C
50007,2016-01-01,1,Purchase,"Trousers type 5, Adidas",1,479,479,Supplier C
50007,2016-01-01,1,Purchase,"Trousers type 6, Adidas",1,766,766,Supplier C
50008,2016-01-01,1,Purchase,"Trousers type 7, Adidas",1,954,954,Supplier A
50008,2016-01-01,1,Purchase,"Trousers type 8, Adidas",5,1053,5265,Supplier A
50008,2016-01-01,1,Purchase,"Trousers type 9, Adidas",5,205,1025,Supplier A
50008,2016-01-01,1,Purchase,"Trousers type 10, Adidas",1,580,580,Supplier A
50008,2016-01-01,1,Purchase,"Trousers type 11, Adidas",3,884,2652,Supplier A
50008,2016-01-01,1,Purchase,"Trousers type 12, Adidas",1,447,447,Supplier A
50008,2016-01-01,1,Purchase,"Shirt type 1, Adidas",1,474,474,Supplier A
50008,2016-01-01,1,Purchase,"Shirt type 2, Adidas",1,460,460,Supplier A
50008,2016-01-01,1,Purchase,"Shirt type 3, Adidas",1,372,372,Supplier A
50008,2016-01-01,1,Purchase,"Shirt type 4, Adidas",1,186,186,Supplier A
50009,2016-01-01,1,Purchase,"Shirt type 5, Adidas",2,779,1558,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 6, Adidas",1,606,606,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 7, Adidas",1,795,795,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 8, Adidas",1,355,355,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 9, Adidas",1,838,838,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 10, Adidas",1,205,205,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 11, Adidas",1,310,310,Supplier C
50009,2016-01-01,1,Purchase,"Shirt type 12, Adidas",1,456,456,Supplier C
50009,2016-01-01,1,Purchase,"Sneakers type 1, Puma",1,1628,1628,Supplier C
50009,2016-01-01,1,Purchase,"Sneakers type 2, Puma",1,982,982,Supplier C
50009,2016-01-01,1,Purchase,"Sneakers type 3, Puma",1,1965,1965,Supplier C
50009,2016-01-01,1,Purchase,"Sneakers type 4, Puma",1,912,912,Supplier C
