bill_n,date,time,item,amount,unit_price,total,payment_type(cash/card),buyer_id,shop_id,purchase_cost,date_of_purchase
100000001,2017-10-10,13:33:41,"Top type 3, Adidas",1,137.67750000000004,137.67750000000004,cash,,shop_4,75,2017-10-14
100000001,2017-10-10,13:33:41,"Sneakers type 5, Reebok",1,2250.24,2250.24,cash,,shop_4,1172,2017-10-14
100000002,2017-01-28,16:00:44,"Socks type 3, Nike",1,366.44496,366.44496,cash,,shop_3,191,2017-01-28
100000003,2018-01-24,14:12:31,"Cufflinks type 5, Nike",1,949.6480000000001,949.6480000000001,cash,,shop_6,427,2018-01-24
100000003,2018-01-24,14:12:31,"T-shirt type 3, Reebok",1,440.7,440.7,cash,,shop_6,226,2018-01-24
100000004,2016-09-08,20:24:02,"Hat type 6, Reebok",1,168.73899999999998,168.73899999999998,card,,shop_3,107,2016-09-08
100000005,2017-01-23,11:23:01,"Socks type 6, Reebok",1,560.1959999999999,560.1959999999999,cash,1058.0,shop_5,380,2017-01-25
100000005,2017-01-23,11:23:01,"Boots type 3, Puma",1,4234.99776,4234.99776,cash,1058.0,shop_5,2748,2017-01-25
100000005,2017-01-23,11:23:01,"Shoes type 1, Reebok",1,6119.12,6119.12,cash,1058.0,shop_5,3122,2017-01-25
100000007,2018-06-22,15:37:07,"Trousers type 8, Puma",1,759.6320000000001,759.6320000000001,cash,906.0,shop_7,482,2018-06-23
100000007,2018-06-22,15:37:07,"Trousers type 10, Nike",1,1100.6852,1100.6852,cash,906.0,shop_7,577,2018-06-23
100000007,2018-06-22,15:37:07,"Sneakers type 2, Puma",1,1579.056,1579.056,cash,906.0,shop_7,982,2018-06-23
100000007,2018-06-22,15:37:07,"Hat type 5, Puma",2,220.0352,440.0704,cash,906.0,shop_7,280,2018-06-23
100000007,2018-06-22,15:37:07,"Socks type 3, Nike",1,436.24399999999997,436.24399999999997,cash,906.0,shop_7,191,2018-06-23
100000007,2018-06-22,15:37:07,"Boots type 6, Nike",1,5533.412,5533.412,cash,906.0,shop_7,2279,2018-06-23
100000007,2018-06-22,15:37:07,"T-shirt type 2, Reebok",1,385.2,385.2,cash,906.0,shop_7,214,2018-06-23
100000007,2018-06-22,15:37:07,"Shirt type 7, Reebok",1,1310.26,1310.26,cash,906.0,shop_7,686,2018-06-23
100000007,2018-06-22,15:37:07,"Ball type 1, Nike",1,111.93599999999999,111.93599999999999,cash,906.0,shop_7,48,2018-06-23
100000007,2018-06-22,15:37:07,"Trousers type 11, Adidas",2,1697.28,3394.56,cash,906.0,shop_7,1768,2018-06-23
100000007,2018-06-22,15:37:07,"Hat type 6, Puma",1,340.6572,340.6572,cash,906.0,shop_7,251,2018-06-23
100000007,2018-06-22,15:37:07,"Shirt type 12, Reebok",2,1098.1082000000001,2196.2164000000002,cash,906.0,shop_7,1258,2018-06-23
100000007,2018-06-22,15:37:07,"T-shirt type 7, Reebok",1,549.12,549.12,cash,906.0,shop_7,286,2018-06-23
100000007,2018-06-22,15:37:07,"Shoes type 2, Puma",1,3234.944,3234.944,cash,906.0,shop_7,2032,2018-06-23
100000007,2018-06-22,15:37:07,"Cap type 3, Puma",1,479.86400000000003,479.86400000000003,cash,906.0,shop_7,287,2018-06-23
100000009,2018-04-02,16:48:52,"Boots type 3, Adidas",1,6357.88,6357.88,card,382.0,shop_8,2999,2018-04-02
100000011,2016-03-12,20:26:52,"Cufflinks type 7, Nike",1,581.616,581.616,cash,474.0,shop_8,252,2016-03-12
100000014,2016-03-23,09:03:25,"Socks type 2, Puma",1,427.648,427.648,cash,317.0,shop_4,257,2016-03-28
100000014,2016-03-23,09:03:25,"Ball type 2, Adidas",1,94.5,94.5,cash,317.0,shop_4,45,2016-03-28
100000014,2016-03-23,09:03:25,"Cufflinks type 6, Puma",1,365.72,365.72,cash,317.0,shop_4,205,2016-03-28
100000014,2016-03-23,09:03:25,"Boots type 4, Puma",1,5635.312,5635.312,cash,317.0,shop_4,3631,2016-03-28
100000014,2016-03-23,09:03:25,"Hat type 3, Adidas",1,231.0,231.0,cash,317.0,shop_4,110,2016-03-28
100000014,2016-03-23,09:03:25,"Cufflinks type 5, Reebok",1,262.8,262.8,cash,317.0,shop_4,146,2016-03-28
100000015,2018-04-29,17:30:24,"Shirt type 10, Adidas",1,446.8999999999999,446.8999999999999,card,,shop_7,205,2018-04-30
100000015,2018-04-29,17:30:24,"Socks type 6, Reebok",1,691.5999999999999,691.5999999999999,card,,shop_7,380,2018-04-30
100000015,2018-04-29,17:30:24,"Socks type 7, Reebok",1,315.59,315.59,card,,shop_7,151,2018-04-30
100000015,2018-04-29,17:30:24,"Shirt type 5, Reebok",2,952.4423999999999,1904.8847999999998,card,,shop_7,1068,2018-04-30
100000017,2017-04-13,20:29:43,"Slippers type 2, Reebok",1,407.769,407.769,cash,,shop_3,218,2017-04-13
100000017,2017-04-13,20:29:43,"Shirt type 9, Nike",1,1699.0400000000002,1699.0400000000002,cash,,shop_3,740,2017-04-13
100000017,2017-04-13,20:29:43,"Shirt type 6, Reebok",1,699.6,699.6,cash,,shop_3,330,2017-04-13
100000017,2017-04-13,20:29:43,"Socks type 2, Reebok",1,415.8,415.8,cash,,shop_3,210,2017-04-13
100000019,2016-04-26,11:41:43,"Shoes type 1, Nike",1,2573.28252,2573.28252,cash,,shop_6,1611,2016-04-26
100000021,2016-10-20,16:55:49,"Top type 4, Nike",1,402.28,402.28,cash,146.0,shop_3,178,2016-10-20
100000022,2016-05-29,13:39:13,"Cufflinks type 5, Nike",2,949.6480000000001,1899.2960000000003,card,358.0,shop_2,854,2016-05-29
100000025,2016-04-01,16:47:13,"Boots type 6, Adidas",1,5889.38,5889.38,cash,,shop_9,2714,2016-04-06
100000025,2016-04-01,16:47:13,"Hat type 1, Puma",1,470.016,470.016,cash,,shop_9,288,2016-04-06
100000025,2016-04-01,16:47:13,"Slippers type 2, Nike",2,770.2400000000001,1540.4800000000002,cash,,shop_9,664,2016-04-06
100000027,2017-10-15,18:22:08,"Socks type 6, Reebok",1,691.5999999999999,691.5999999999999,cash,,shop_6,380,2017-10-15
100000027,2017-10-15,18:22:08,"Shirt type 9, Adidas",2,1818.46,3636.92,cash,,shop_6,1676,2017-10-15
100000027,2017-10-15,18:22:08,"T-shirt type 1, Nike",1,452.2,452.2,cash,,shop_6,190,2017-10-15
100000028,2016-03-09,14:06:47,"Shirt type 11, Adidas",2,505.176,1010.352,cash,,shop_8,620,2016-03-11
100000029,2016-08-17,09:01:32,"Trousers type 10, Nike",1,1158.616,1158.616,cash,,shop_6,577,2016-08-21
100000029,2016-08-17,09:01:32,"Boots type 4, Puma",1,5809.6,5809.6,cash,,shop_6,3631,2016-08-21
100000029,2016-08-17,09:01:32,"T-shirt type 4, Puma",1,297.344,297.344,cash,,shop_6,184,2016-08-21
100000031,2017-05-04,10:09:04,"Cufflinks type 5, Reebok",1,262.8,262.8,cash,,shop_9,146,2017-05-04
100000031,2017-05-04,10:09:04,"Shirt type 9, Nike",1,1699.0400000000002,1699.0400000000002,cash,,shop_9,740,2017-05-04
100000031,2017-05-04,10:09:04,"Top type 4, Puma",1,234.752,234.752,cash,,shop_9,131,2017-05-04
100000031,2017-05-04,10:09:04,"Trousers type 11, Adidas",1,1697.28,1697.28,cash,,shop_9,884,2017-05-04
