bill,date,time,item,amount,total,payment_type(cash/card),buyer_id,purchase_price
100000006,28-12-2016,14:23:48,"Cufflinks type 7, Adidas",1,334.88,cash,,184
100000023,04-06-2018,16:58:35,"Shirt type 2, Puma",1,853.632,cash,863.0,494
100000026,03-04-2017,09:35:55,"Belt type 2, Reebok",1,423.3504,card,,209
100000048,04-03-2018,20:41:05,"Socks type 6, Adidas",1,607.608,cash,,388
100000048,04-03-2018,20:41:05,"Trousers type 8, Puma",1,759.632,cash,,482
100000048,04-03-2018,20:41:05,"Sneakers type 5, Reebok",1,1912.704,cash,,1172
100000048,04-03-2018,20:41:05,"Cufflinks type 2, Reebok",1,432.0,cash,,200
100000057,18-01-2016,14:13:01,"Shirt type 1, Adidas",1,914.82,cash,,474
100000057,18-01-2016,14:13:01,"Shoes type 4, Reebok",1,5057.1532,cash,,3298
100000057,18-01-2016,14:13:01,"Sneakers type 6, Reebok",2,3933.92,cash,,2138
100000102,13-08-2017,12:34:57,"Sneakers type 6, Nike",1,4692.12,cash,,1923
100000102,13-08-2017,12:34:57,"Shirt type 6, Puma",1,551.76,cash,,330
100000102,13-08-2017,12:34:57,"Cufflinks type 4, Adidas",1,1069.81,cash,,493
100000102,13-08-2017,12:34:57,"Slippers type 3, Nike",1,313.536,cash,,138
100000102,13-08-2017,12:34:57,"Belt type 4, Puma",2,861.888,cash,,536
100000102,13-08-2017,12:34:57,"Trousers type 6, Puma",2,1987.1232,cash,,1522
100000102,13-08-2017,12:34:57,"Slippers type 3, Puma",1,368.0,cash,,230
100000102,13-08-2017,12:34:57,"Cap type 3, Reebok",1,315.57,cash,,157
100000112,08-05-2018,20:50:33,"Top type 3, Puma",1,480.6,card,,267
100000118,14-03-2017,20:50:40,"Slippers type 2, Nike",1,700.9184,cash,,332
100000118,14-03-2017,20:50:40,"Socks type 5, Nike",2,1013.968,cash,,508
100000127,13-04-2016,16:31:53,"T-shirt type 3, Adidas",1,623.28,card,,318
100000132,15-01-2016,20:30:54,"Socks type 4, Adidas",1,688.2,card,,370
100000139,07-05-2018,19:45:04,"Belt type 2, Adidas",1,325.95,card,,159
100000151,21-11-2016,18:06:58,"Trousers type 5, Adidas",1,972.37,card,1165.0,479
100000157,27-06-2016,18:30:45,"Sneakers type 4, Adidas",1,1328.2786,cash,,739
100000196,24-07-2018,16:02:13,"Shirt type 2, Reebok",1,554.4,card,,252
100000196,24-07-2018,16:02:13,"Socks type 5, Nike",1,456.2856,card,,254
100000196,24-07-2018,16:02:13,"Sneakers type 6, Adidas",1,2087.6544,card,,1224
100000196,24-07-2018,16:02:13,"T-shirt type 1, Adidas",1,459.9,card,,219
100000213,24-04-2016,09:59:43,"T-shirt type 6, Puma",1,181.28,cash,,110
100000213,24-04-2016,09:59:43,"Trousers type 6, Nike",1,2298.168,cash,,1062
